File Name,Category,NPCR_R_baseline,NPCR_G_baseline,NPCR_B_baseline,NPCR_baseline,NPCR_R_optimized,NPCR_G_optimized,NPCR_B_optimized,NPCR_optimized,selisih_npcr,UACI_R_baseline,UACI_G_baseline,UACI_B_baseline,UACI_baseline,UACI_R_optimized,UACI_G_optimized,UACI_B_optimized,UACI_optimized,selisih_uaci
I04_04_01.png,high,98.75743,98.78591,98.7737,98.77235,98.84898,98.84186,98.80524,98.83202,0.059669999999997,33.48401,33.49936,33.4891,33.49082,33.49,33.5061,33.43014,33.47541,-0.01541000000000281
I05_01_02.png,high,99.35099,99.35048,99.38049,99.36066,99.07684,99.05243,99.09058,99.07328,-0.28737999999999886,33.45946,33.54701,33.52102,33.50916,33.45894,33.45839,33.4848,33.46738,-0.041780000000002815
I05_20_02.png,high,98.88255,98.90849,98.96189,98.91764,99.53512,99.48578,99.51019,99.51036,0.5927199999999999,33.47281,33.47512,33.51726,33.4884,33.43259,33.47685,33.43225,33.44723,-0.04117000000000104
I08_18_01.png,high,99.24571,99.28538,99.23604,99.25571,98.88306,98.85864,98.86271,98.86814,-0.38756999999999664,33.47861,33.39868,33.5223,33.46653,33.45917,33.52396,33.51909,33.50074,0.03421000000000163
I13_17_03.png,high,99.06667,99.04582,99.05752,99.05667,98.9329,98.90696,98.90594,98.91527,-0.1413999999999902,33.45275,33.37149,33.47761,33.43395,33.40499,33.42508,33.48373,33.43793,0.00397999999999854
I15_19_02.png,high,98.91561,98.90289,98.89425,98.90425,99.0387,99.0387,99.05701,99.0448,0.1405499999999904,33.49118,33.43946,33.52988,33.48684,33.45659,33.56531,33.40602,33.47597,-0.010870000000004154
I16_16_01.png,high,99.0331,99.01276,99.04277,99.02954,99.25028,99.20909,99.2452,99.23486,0.2053200000000004,33.42386,33.48566,33.52715,33.47889,33.45776,33.46584,33.41445,33.44602,-0.03287000000000262
I16_18_05.png,high,99.35404,99.38049,99.37592,99.37015,98.79049,98.8266,98.77981,98.79896,-0.5711900000000014,33.4371,33.44322,33.45705,33.44579,33.42958,33.47561,33.4769,33.4607,0.014910000000000423
I21_06_02.png,high,99.52291,99.50511,99.51223,99.51341,98.90137,98.89526,98.85,98.88221,-0.6311999999999927,33.40562,33.39422,33.39838,33.3994,33.48099,33.47397,33.50846,33.4878,0.08840000000000003
I26_04_01.png,high,98.95528,98.94511,98.9507,98.95036,99.24469,99.24062,99.21468,99.23333,0.28296999999999173,33.41662,33.40463,33.50433,33.44186,33.53483,33.50719,33.53357,33.5252,0.08333999999999975
I26_05_01.png,high,99.18416,99.1628,99.23859,99.19518,99.21977,99.26097,99.21214,99.23096,0.03578000000000259,33.45315,33.57917,33.49436,33.50889,33.51733,33.39078,33.42995,33.44602,-0.06287000000000376
I27_17_04.png,high,99.14907,99.15924,99.145,99.1511,98.99038,98.98783,99.00462,98.99428,-0.15681999999999618,33.44623,33.42613,33.44977,33.44071,33.47232,33.44974,33.41567,33.44591,0.005199999999994986
I31_14_02.png,high,99.26656,99.21926,99.26046,99.24876,99.06362,99.0921,99.13228,99.096,-0.15276000000000067,33.48706,33.47728,33.47019,33.47818,33.50785,33.51843,33.48765,33.50464,0.02646000000000015
I39_10_02.png,high,99.44102,99.46747,99.43441,99.44763,99.35303,99.27928,99.30115,99.31115,-0.13648000000000593,33.54281,33.50193,33.58824,33.54433,33.55272,33.4689,33.40325,33.47495,-0.06938000000000244
I40_16_02.png,high,99.19637,99.16382,99.13635,99.16551,98.87136,98.83779,98.85763,98.85559,-0.3099199999999911,33.55055,33.52324,33.35645,33.47675,33.42675,33.43539,33.36476,33.40896,-0.06779000000000224
I41_22_04.png,high,98.9858,98.93748,98.97817,98.96715,99.2513,99.23452,99.22231,99.23604,0.26888999999999896,33.55781,33.4946,33.57664,33.54302,33.56332,33.46046,33.52902,33.5176,-0.02541999999999689
I45_10_01.png,high,99.01784,98.99241,98.98529,98.99851,99.2513,99.25181,99.27216,99.25842,0.25991000000000497,33.51759,33.52722,33.44707,33.49729,33.39969,33.47162,33.42293,33.43141,-0.06587999999999994
I48_14_01.png,high,99.14703,99.16382,99.12516,99.14534,99.32404,99.32658,99.34235,99.33099,0.18564999999999543,33.52791,33.51962,33.48462,33.51072,33.42439,33.51398,33.51057,33.48298,-0.02774000000000143
I52_06_01.png,high,99.15975,99.17145,99.14449,99.15856,99.52952,99.51172,99.50104,99.51409,0.3555300000000017,33.46208,33.50741,33.52351,33.49767,33.47435,33.49682,33.52336,33.49818,0.0005099999999984561
I57_01_01.png,high,99.19281,99.23045,99.21621,99.21316,99.00157,99.02598,99.0392,99.02225,-0.19091000000000236,33.51646,33.40584,33.44946,33.45725,33.45489,33.45299,33.42188,33.44325,-0.014000000000002899
I57_20_01.png,high,99.20502,99.21977,99.23197,99.21892,99.39524,99.37439,99.37236,99.38066,0.16174000000000888,33.50729,33.43148,33.43017,33.45631,33.51602,33.43856,33.41618,33.45692,0.0006099999999946704
I60_25_03.png,high,99.0392,99.0565,99.07074,99.05548,99.50714,99.48324,99.48018,99.49019,0.4347099999999955,33.46726,33.49002,33.45952,33.47227,33.36587,33.49665,33.51037,33.45763,-0.014639999999999986
I64_18_01.png,high,99.29708,99.29555,99.29454,99.29572,98.91612,98.88458,98.88509,98.89526,-0.4004600000000096,33.54065,33.46719,33.48677,33.4982,33.45251,33.59438,33.39938,33.48209,-0.016109999999997626
I65_09_01.png,high,99.32861,99.32098,99.3276,99.32573,98.97919,98.96088,98.96189,98.96732,-0.3584099999999921,33.50304,33.42129,33.5915,33.50528,33.4619,33.55954,33.46377,33.49507,-0.010210000000000719
I69_20_04.png,high,99.54376,99.51731,99.54224,99.53444,99.14144,99.12821,99.09465,99.12143,-0.4130099999999999,33.4819,33.36222,33.38298,33.40903,33.62605,33.44014,33.37528,33.48049,0.07146000000000186
I70_08_02.png,high,99.07227,99.10431,99.08752,99.08803,99.45323,99.47205,99.46645,99.46391,0.3758799999999951,33.37091,33.5988,33.44397,33.47123,33.44775,33.43211,33.46633,33.44873,-0.022500000000000853
I73_10_02.png,high,98.92171,98.87594,98.87339,98.89035,99.33726,99.3454,99.36269,99.34845,0.45810000000000173,33.44385,33.45655,33.43574,33.44538,33.54472,33.42058,33.48431,33.4832,0.03781999999999641
I78_03_01.png,high,99.41203,99.43186,99.43339,99.42576,99.12211,99.2101,99.1806,99.17094,-0.25481999999999516,33.36958,33.60146,33.38753,33.45285,33.50117,33.50598,33.48477,33.49731,0.04446000000000083
I80_18_02.png,high,99.25028,99.25486,99.27063,99.25859,99.12059,99.09108,99.15161,99.12109,-0.13750000000000284,33.43383,33.44607,33.39876,33.42622,33.42684,33.36579,33.44407,33.41224,-0.013980000000003656
I81_18_03.png,high,98.89984,98.89272,98.90544,98.89933,99.24927,99.2808,99.2986,99.27622,0.37688999999998885,33.38062,33.41692,33.38933,33.39562,33.47511,33.46692,33.42985,33.4573,0.061679999999995516
I01_25_05.png,medium,98.87695,98.93697,98.91968,98.9112,99.16484,99.15873,99.14805,99.15721,0.2460100000000125,33.4747,33.40163,33.44099,33.43911,33.42822,33.4084,33.41856,33.41839,-0.020719999999997185
I02_14_02.png,medium,99.09058,99.05243,99.04836,99.06379,99.32353,99.34235,99.30827,99.32471,0.2609199999999987,33.57198,33.45885,33.46601,33.49895,33.3896,33.46195,33.44364,33.43173,-0.06721999999999895
I04_14_03.png,medium,99.14653,99.17094,99.16687,99.16144,98.69181,98.67503,98.65926,98.67537,-0.486069999999998,33.56178,33.47299,33.38623,33.47367,33.46161,33.48872,33.48498,33.47844,0.004770000000000607
